Fecha,Código Cliente,Sede,Tipo de Cuenta,Cliente Nuevo ,Neto,Iva
42740,C-148,Barcelona,Cuenta corriente,No,7815,0.21
42740,C-730,Gavà,Cuenta corriente,Si,14868,0.21
42740,C-496,Gavà,Fondo de inversión,No,4489,0.21
42740,B-427,Gavà,Cuenta corriente,Si,8919,0.21
42740,B-609,Gavà,Ahorros,Si,8620,0.21
42740,A-130,Gavà,Hipoteca,Si,2763,0.21
42740,A-309,Tarragona,Ahorros,No,7727,0.21
42740,A-272,Girona,Plan de jubilación,No,3335,0.21
42740,D-258,Girona,Plan de jubilación,Si,12994,0.21
42740,C-407,Lleida,Plan de jubilación,Si,424,0.21
42740,B-450,Lleida,Fondo de inversión,Si,13400,0.21
42740,D-833,Lleida,Fondo de inversión,Si,10436,0.21
42741,B-706,Barcelona,Ahorros,No,10588,0.21
42741,B-912,Barcelona,Ahorros,No,7454,0.21
42741,B-495,Barcelona,Plan de jubilación,No,14868,0.21
42741,A-891,Barcelona,Ahorros,No,12414,0.21
42741,A-668,Barcelona,Hipoteca,No,5806,0.21
42741,B-211,Gavà,Hipoteca,Si,4468,0.21
42741,A-564,Gavà,Cuenta corriente,No,9863,0.21
42741,D-607,Gavà,Cuenta corriente,No,12320,0.21
42741,B-540,Gavà,Cuenta corriente,Si,4719,0.21
42741,C-300,Gavà,Hipoteca,No,2995,0.21
42741,A-529,Gavà,Plan de jubilación,No,11630,0.21
42741,D-503,Gavà,Hipoteca,Si,12962,0.21
42741,C-394,Tarragona,Ahorros,Si,9570,0.21
42741,C-433,Girona,Hipoteca,No,7369,0.21
42741,A-591,Girona,Cuenta corriente,Si,2253,0.21
42741,D-716,Girona,Cuenta corriente,Si,14808,0.21
42741,B-226,Lleida,Hipoteca,Si,4325,0.21
42741,C-230,Lleida,Plan de jubilación,Si,3299,0.21
42742,A-190,Barcelona,Ahorros,Si,12532,0.21
42742,B-943,Barcelona,Hipoteca,No,3908,0.21
42742,B-795,Barcelona,Ahorros,Si,13751,0.21
42742,A-144,Gavà,Fondo de inversión,No,10605,0.21
42742,A-486,Gavà,Cuenta corriente,No,3936,0.21
42742,D-325,Gavà,Fondo de inversión,No,14038,0.21
